good,dirty,wait,lastyear,usa
0,1,2.31,4,1
0,0,1.89,70,1
0,2,2.08,5,1
1,0,3.26,2,1
1,0,1.63,2,1
1,0,1.03,1,1
0,0,3.14,2,1
0,1,2.26,3,1
1,0,5.54,2,1
0,0,1.84,2,1
1,0,1.51,1,1
1,0,1.63,3,1
0,0,5.63,1,1
1,0,2.41,2,1
1,0,2.04,3,1
0,0,2.28,2,1
1,0,2.28,1,1
0,1,5.56,1,1
0,2,1.38,4,1
0,0,2.28,1,1
0,0,2.28,1,1
1,0,2.69,2,1
1,0,3.03,5,1
0,0,5.66,1,1
0,0,3.84,1,1
1,0,2.36,3,1
1,0,2.64,6,1
1,0,1.14,9,1
1,0,5.33,68,1
1,1,0.81,1,1
1,0,5.21,4,1
0,1,5.21,9,1
0,0,4.86,4,1
1,0,0.81,4,1
1,0,1.06,12,1
0,0,1.06,1,1
1,0,0.73,1,1
0,0,1.06,0,1
1,0,1.58,19,1
1,1,4.84,1,1
1,0,5.58,2,1
0,0,1.28,6,1
0,0,5.58,10,1
1,0,1.06,1,1
1,0,5.58,3,1
0,0,5.58,4,1
0,0,5.58,2,1
1,0,5.58,9,1
1,0,5.41,5,1
0,0,1.39,1,1
0,0,5.66,1,1
1,0,5.54,4,1
1,0,5.41,8,1
0,0,5.41,2,1
1,0,1.14,3,1
1,0,0.89,2,1
0,0,3.31,1,1
1,0,1.06,1,1
0,0,5.41,1,1
1,0,5.21,1,1
0,0,0.81,3,1
1,0,0.89,3,1
0,0,1.14,3,1
0,0,5.41,1,1
1,0,4.84,4,1
1,0,5.41,4,1
1,0,5.58,3,1
0,0,1.58,5,1
0,0,1.31,2,1
1,0,1.58,1,1
1,0,2.81,10,1
0,0,1.79,1,1
0,0,4.86,4,1
1,0,1.06,1,1
0,0,5.33,6,1
1,0,5.21,9,1
0,0,4.84,1,1
1,0,0.73,3,1
1,0,1.58,1,1
1,0,3.38,10,1
1,0,1.58,1,1
1,0,5.58,1,1
0,1,4.84,1,1
1,0,2.23,5,1
1,0,4.84,5,1
0,0,1.79,1,1
0,0,1.06,4,1
1,0,1.06,5,1
1,0,5.58,1,1
1,0,1.31,4,1
0,1,0.81,15,1
0,0,0.73,2,1
0,0,4.84,1,1
0,0,0.81,1,1
0,0,5.33,4,1
1,0,4.84,52,1
0,0,5.33,10,1
0,0,1.06,4,1
1,0,5.58,2,1
1,0,5.21,6,1
1,0,4.84,2,1
1,0,5.58,1,1
1,0,1.58,1,1
0,0,0.81,5,1
1,0,1.31,2,1
1,0,1.06,1,1
1,0,5.58,4,1
0,0,5.41,2,1
0,0,0.98,1,1
1,0,2.64,7,1
0,0,0.73,2,1
1,0,5.58,1,1
1,0,5.33,2,1
0,0,1.31,2,1
0,0,5.58,1,1
0,0,4.84,2,1
1,0,5.58,1,1
1,0,1.06,1,1
1,0,1.06,5,1
1,0,0.81,16,1
0,0,1.06,2,1
0,0,4.84,1,1
1,0,1.06,2,1
1,0,4.84,1,1
0,0,1.06,18,1
1,0,5.33,3,1
1,0,1.06,1,1
1,0,1.06,5,1
1,0,5.33,5,1
0,0,5.41,1,1
1,0,1.06,4,1
1,0,1.31,2,1
1,0,3.38,2,1
1,0,4.84,4,1
1,0,5.03,3,1
0,0,3.96,1,1
1,0,4.84,18,1
1,0,5.33,15,1
1,0,4.51,4,1
1,0,5.58,1,1
1,0,4.84,1,1
0,0,4.84,3,1
1,0,1.06,0,1
0,0,5.58,5,1
1,0,0.89,2,0
1,0,5.33,4,0
1,0,1.23,5,0
0,0,1.23,1,0
1,0,0.73,4,0
1,0,5.21,8,0
1,0,1.73,2,0
0,0,1.23,2,0
1,0,5.41,3,0
1,0,5.49,5,0
1,0,0.98,7,0
0,0,0.73,7,0
1,0,0.73,1,0
1,0,1.48,2,0
0,0,1.48,7,0
1,0,0.98,2,0
1,0,1.48,3,0
0,0,0.73,1,0
1,0,0.73,2,0
0,0,5.66,18,1
1,0,2.06,4,1
1,0,1.88,2,1
1,0,0.89,2,1
1,0,0.98,7,1
1,0,1.14,2,1
0,0,1.06,36,1
1,0,1.14,5,1
1,0,1.14,4,1
0,0,5.66,3,1
1,0,5.66,3,1
1,0,1.39,4,1
0,0,5.03,5,1
1,0,1.14,10,1
0,0,0.81,12,1
1,0,5.66,4,1
1,0,0.98,4,1
1,0,5.66,1,1
1,0,1.14,4,1
0,0,1.66,1,1
0,0,2.88,2,1
1,0,1.66,12,1
1,0,2.06,1,1
0,0,2.06,1,1
1,0,5.41,4,1
0,0,1.66,2,1
1,0,1.66,4,1
1,0,0.89,6,1
1,0,1.14,2,1
1,0,1.31,3,1
1,0,1.66,4,1
1,3,5.03,12,1
1,0,5.66,3,1
1,0,4.51,5,1
0,0,1.14,2,1
0,0,0.89,0,1
1,0,1.58,1,0
1,0,0.81,4,0
0,0,1.14,1,0
1,0,1.58,1,0
1,0,1.99,1,0
1,0,5.58,1,0
0,0,0.89,1,0
1,0,0.98,1,0
1,0,1.73,1,0
0,0,5.58,1,0
0,0,5.58,1,0
0,0,0.98,4,0
0,2,5.58,3,0
1,0,5.74,2,0
1,0,5.74,4,0
1,0,5.74,2,0
0,0,1.23,1,0
0,0,2.36,1,0
1,0,1.96,3,0
0,0,1.96,4,0
1,0,2.78,1,0
1,0,2.64,2,0
1,0,1.96,4,0
1,0,1.96,2,0
1,0,2.06,1,0
1,0,0.98,1,0
0,0,2.78,1,0
1,0,3.21,1,0
1,0,4.31,2,0
0,0,4.44,1,0
1,0,2.93,1,0
1,0,1.58,1,0
0,0,1.23,2,0
1,0,1.73,4,0
1,0,5.74,2,0
1,0,0.89,2,1
1,0,5.41,3,1
0,0,1.66,1,1
0,0,1.66,1,1
0,0,5.66,1,1
0,0,5.66,3,1
1,0,1.88,1,1
1,0,5.66,4,1
0,0,5.41,3,1
1,0,1.39,1,1
0,0,1.06,2,1
0,0,5.58,4,1
0,0,1.99,1,1
1,1,1.99,2,1
0,2,1.06,4,1
1,0,1.58,1,1
1,0,1.99,1,1
0,0,1.58,2,1
1,0,3.59,3,1
1,0,1.58,2,1
1,0,1.58,2,1
1,1,1.06,1,1
1,0,1.99,1,1
1,0,1.99,1,1
1,0,5.58,2,1
0,0,0.73,1,1
1,0,0.81,2,1
1,0,2.43,1,1
1,0,2.23,2,1
0,0,2.06,2,0
0,1,3.16,2,0
1,0,1.73,2,0
0,0,5.74,2,0
1,0,5.03,3,0
0,0,1.14,28,0
1,0,3.76,1,0
1,0,1.66,2,0
0,0,5.66,4,0
1,0,0.98,3,0
1,0,2.43,1,0
1,0,2.53,2,0
1,0,3.18,1,0
0,0,2.38,1,0
1,0,1.68,2,0
0,0,3.18,2,0
1,0,1.18,13,0
0,1,0.73,29,1
0,1,1.48,7,1
1,0,0.98,10,1
0,1,1.48,32,1
0,0,0.73,5,1
0,0,5.58,1,1
0,0,3.34,14,1
1,0,5.33,10,1
1,0,0.98,1,1
0,0,3.23,2,1
0,0,4.68,8,1
